age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
80,1936, pancreatic cancer,October,2013,American football coach (University of Washington),Don James,American
93,1923,,October,2013, laureate of Nobel Prize in Economic Sciences (1980),Lawrence Klein,American
80,1936,,October,2013,Hungarian Olympic champion modern pentathlete (1960),Imre Nagy,Hungarian
81,1935, fall,October,2013,American actress (Million Dollar Mermaid The Silencers Love Me or Leave Me),Larri Thomas,American
37,1979, cancer,October,2013,South African footballer (Auckland City),Keryn Jordan,South
77,1939,,October,2013, member of the House of Representatives for New York (1983–2007),Major Owens,American
82,1934,,October,2013, member of the Storting from Vestfold (1977–1985),Karen Sogn,Norwegian
79,1937,,October,2013,Dutch footballer (S,Dick van den Polder,Dutch
82,1934,,October,2013, Minister of Defence (1990–1994),Lajos Für,Hungarian
79,1937, kidney failure,October,2013,American author and screenwriter (Rollerball),William Harrison,American
68,1948,,October,2013, Archbishop of Homs (since 2000),Théophile Georges Kassab,Syrian
45,1971,,October,2013,American baseball player (Houston Astros),Mark Small,American
75,1941,,October,2013, Bishop of Wewak (2002−2013),Anthony Joseph Burgess,Australian
22,1994,,October,2013,Irish hurler (Galway),Niall Donoghue,Irish
85,1931, leukemia,October,2013,American politician member of the New Jersey General Assembly (1976−1978) and Senate (1978−1983) Mayor of Linden (1990−2006),John T. Gregorio,American
90,1926,,October,2013, member of the Pennsylvania House of Representatives (1979−1980),E. Raymond Lynch,American
62,1954,,October,2013,English rock guitarist (Dr,Gypie Mayo,English
100,1916,,October,2013,Italian Olympic gymnast (1948),Ettore Perego,Italian
70,1946,,October,2013, Miss Venezuela (1965),María de las Casas,Venezuelan
79,1937,,October,2013, Miss Mexico (1953),Ana Bertha Lepe,Mexican
83,1933,,October,2013, Bishop of Njombe (1971−2002),Raymond Mwanyika,Tanzanian
80,1936,,October,2013,Italian economist and medical pioneer (Lorenzo's oil),Augusto Odone,Italian
91,1925,,October,2013,Danish Olympic rower (1948 1952),Ebbe Parsner,Danish
49,1967,,October,2013,American football player (Detroit Lions),Reggie Rogers,American
100,1916,,October,2013, Supreme Patriarch of Thailand (since 1989),Nyanasamvara Suvaddhana,Thai
85,1931,,October,2013,English actor (Chariots of Fire Howards' Way),Nigel Davenport,English
86,1930,,October,2013, General Secretary of APEX (1971–1989),Roy Grantham,British
86,1930,,October,2013,Norwegian Olympic speed skater (1952),Arne Johansen,Norwegian
66,1950,,October,2013, 2010),Peter Mitterer,Austrian
82,1934, cancer,October,2013,American stuntman and film director (Smokey and the Bandit The Cannonball Run),Hal Needham,American
83,1933,,October,2013,Canadian businessman and real estate mogul (Olympia and York),Paul Reichmann,Canadian
87,1929, complications from a stroke,October,2013,American Hall of Fame basketball player (Boston Celtics) and coach (Los Angeles Lakers),Bill Sharman,American
73,1943, cancer,October,2013,American basketball player (St. Louis Hawks Detroit Pistons),Chico Vaughn,American
70,1946, pneumonia,October,2013,American actress (The Simpsons The Bob Newhart Show) and comedian,Marcia Wallace,American
79,1937,,October,2013, Senator (1989−1992),Denis Foley,Irish
65,1951,,October,2013,American soul singer (The Unifics),Al Johnson,American
67,1949,,October,2013, Minister for Education (1991−1992),Noel Davern,Irish
89,1927,,October,2013,American baseball player (Cincinnati Reds/Redlegs St,Eddie Erautt,American
89,1927,,October,2013,Hungarian Olympic athlete (1948),Olga Gyarmati,Hungarian
86,1930,,October,2013,American actor (Forbidden Planet),Roger McGee,American
32,1984, head trauma,October,2013,South African cricketer (Border),Darryn Randall,South
71,1945, liver disease,October,2013,"American rock musician (The Velvet Underground) and songwriter (""Walk on the Wild Side"")",Lou Reed,American
73,1943,,October,2013, Lieutenant Governor of Jersey (1995–2001),Sir Michael Wilkes,British
30,1986, euthanized following adrenal disease and hoof inflammation,October,2013,German Olympic champion dressage horse (2000),Bonfire,German
93,1923,,October,2013,Japanese baseball player and manager (Yomiuri Giants),Tetsuharu Kawakami,Japanese
61,1955,,October,2013, Minister for Education (since 2012),Eunice Kazembe,Malawian
66,1950, heart failure,October,2013,Japanese politician member of the House of Representatives (1990–1993 1996–2000),Tadashi Maeda,Japanese
86,1930,,October,2013, 1991–2001),Tadeusz Mazowiecki,Polish
81,1935, pneumonia,October,2013,American politician member of the House of Representatives from Missouri (1977–2011),Ike Skelton,American
71,1945,,October,2013,Moroccan footballer (FAR Rabat),Allal Ben Kassou,Moroccan
64,1952,,October,2013,Brazilian footballer (Figueirense),Jaime Casagrande,Brazilian
75,1941,,October,2013, Foreign Minister (2006–2008),Jean Rénald Clérismé,Haitian
75,1941,,October,2013, Bishop of San Joaquin (1988–2011),John-David Schofield,American
35,1981, murdered,October,2013,Brazilian footballer (Bangu Östers Madureira),João Rodrigo Silva Santos,Brazilian
91,1925, stroke,October,2013,English comedian and actor (The Pink Panther Superman III Alfie),Graham Stark,English
88,1928,,October,2013, member of the House of Representatives (1976–1981),Jan van de Ven,Dutch
84,1932,,October,2013,American baseball player (Washington Senators),Bill Currie,American
88,1928,,October,2013,Canadian ice hockey player (Montreal Canadiens),Leo Gravelle,Canadian
62,1954, heart attack,October,2013,English guitarist (Climax Blues Band),Pete Haycock,English
46,1970,,October,2013,Scottish footballer (Rangers Kilmarnock),Dave MacFarlane,Scottish
67,1949,,October,2013,Welsh footballer (Wrexham),Ray Mielczarek,Welsh
71,1945, cancer,October,2013,Venezuelan Roman Catholic prelate Bishop of Valle de la Pascua (1992−2002) and Acarigua-Araure (since 2002),Joaquín José Morón Hidalgo,Venezuelan
64,1952, complications following traffic collision,October,2013,Romanian architect and politician MP (2004–2008) chief architect of the Palace of the Parliament,Anca Petrescu,Romanian
78,1938,,October,2013, Secretary (1994−2007) and Vice-President of Council for Legislative Texts (2007−2010),Bruno Bertagna,Italian
73,1943,,October,2013,American artist and animator (Alvin & the Chipmunks The Smurfs),Toby Bluth,American
90,1926, pancreatic cancer,October,2013,American actress (Killer's Kiss All That Jazz),Chris Chase,American
83,1933, pancreatic cancer,October,2013,French thriller writer (Son Altesse Sérénissime),Gérard de Villiers,French
68,1948,,October,2013,American actor (Innerspace),Robert Gray,American
79,1937,,October,2013, member of the Senate (1991–1995),Trees Huberts-Fokkelman,Dutch
80,1936, cancer,October,2013,American baseball player (New York Yankees Kansas City Athletics),Johnny Kucks,American
84,1932, pneumonia,October,2013,Filipino lawyer and jurist Chief Justice of the Supreme Court (1991−1998),Andres Narvasa,Filipino
84,1932, pneumonia,October,2013,Filipino lawyer and jurist Chief Justice of the Supreme Court (1991−1998),Andres Narvasa,Filipino
84,1932, pneumonia,October,2013,Filipino lawyer and jurist Chief Justice of the Supreme Court (1991−1998),Andres Narvasa,Filipino
84,1932, pneumonia,October,2013,Filipino lawyer and jurist Chief Justice of the Supreme Court (1991−1998),Andres Narvasa,Filipino
92,1924, cancer,November,2013,American politician member of the House of Representatives from Nebraska (1971–1977),John Y. McCollister,American
80,1936,,November,2013, MP for the Northwest Territories (1963–1965),Eugène Rhéaume,Canadian
74,1942,,November,2013, Olympic gold medalist (1960),Walt Bellamy,American
89,1927,,November,2013, Bishop of Volterra (1985–2000),Vasco Giuseppe Bertelli,Italian
92,1924,,November,2013,Dutch footballer (ADO Den Haag),Joop Eversteijn,Dutch
55,1961,,November,2013,American academic and author (The Media Equation),Clifford Nass,American
94,1922,,November,2013,Norwegian-born American businessman (Jensen Motors),Kjell Qvale,Norwegian-born
85,1931,,November,2013, President of the Executive Council of SR Bosnia and Herzegovina (1974–1982); President of the Presidency (1984–1985),Milanko Renovica,Yugoslav
90,1926,,November,2013,American baseball player (Detroit Tigers),Russ Sullivan,American
93,1923,,November,2013,American comic book artist (Aquaman Teen Titans),Nick Cardy,American
86,1930,,November,2013,Polish footballer (Ruch Chorzów),Gerard Cieślik,Polish
87,1929,,November,2013, Secretary-General of the United Nations Conference on Trade and Development (1974–1984),Gamani Corea,Sri
77,1939,,November,2013, member of the House of Representatives from Pennsylvania (1981–2003),William J. Coyne,American
65,1951,,November,2013,Austrian footballer (SK Rapid Wien),Geza Gallos,Austrian
49,1967,,November,2013,Polish footballer (Górnik Zabrze GKS Tychy),Ryszard Kraus,Polish
69,1947,,November,2013,Ukrainian Soviet Olympic boxer (1968),Vladimir Musalimov,Ukrainian
87,1929, complications from diabetes and heart disease,November,2013,British-born American immunologist developed the Rho(D) immune globulin vaccine for Rh disease,William Pollack,British-born
87,1929,,November,2013,Norwegian Olympic sailor (1948 1952),Hakon Barfod,Norwegian
71,1945,,November,2013,Welsh footballer (Chester City),Elfed Morris,Welsh
81,1935, lung problems,November,2013,Iranian politician and presidential candidate Leader of Islamic Coalition Party (1998–2008),Habibollah Asgaroladi,Iranian
79,1937, kidney disease,November,2013,Argentine actor (Johny Tolengo el majestuoso),Juan Carlos Calabró,Argentine
72,1944,,November,2013,Algerian footballer (ES Sétif CR Belouizdad),Lounis Matem,Algerian
85,1931, heart failure,November,2013,American football player (Philadelphia Eagles),Bobby Thomason,American
84,1932,,November,2013, Minister of Petroleum and Energy (1980–1981),Arvid Johanson,Norwegian
29,1987, ARDS,November,2013,Guatemalan Olympic weightlifter (2008 2012),Christian López,Guatemalan
101,1915, member of the Pro Football Hall of Fame,November,2013,American football (Brooklyn Dodgers) and baseball player Philadelphia Athletics,Ace Parker,American
85,1931,,November,2013, BBC political editor (1981–1992),John Cole,British
57,1959,,November,2013, Australian Basketball Hall of Fame inductee (2001),Ian Davies,Australian
48,1968, pneumonia,November,2013,American website publisher (Modern Tales),Joey Manley,American
82,1934,,November,2013,American actor (Apollo 13 Cagney & Lacey Robinson Crusoe on Mars),Paul Mantee,American
98,1918,,November,2013,American journalist and college professor (Columbia University),Penn Kimball,American
83,1933,,November,2013,American Olympic rower (1952),Carl Lovsted,American
73,1943,,November,2013,American baseball player (Brooklyn Dodgers),Rod Miller,American
74,1942,,November,2013,Romanian footballer (Dinamo),Lică Nunweiller,Romanian
81,1935,,November,2013, Ambassador to Japan (1986–1992),Sir John Whitehead,British
75,1941,,November,2013,American politician and Olymnpic skier (1960),John Dendahl,American
66,1950, cancer,November,2013,Scottish politician MSP for Dunfermline East (1999–2011); Cowdenbeath (since 2011),Helen Eadie,Scottish
76,1940, heart attack,November,2013,American journalist reporter and columnist (The Associated Press),Carl Hilliard,American
74,1942,,November,2013,American business executive (Kraft Foods Philip Morris),Michael A. Miles,American
83,1933, respiratory failure,November,2013,Turkish economist and politician Deputy Prime Minister (1971),Atilla Karaosmanoğlu,Turkish
78,1938,,November,2013, MP for South Down (1987–2010),Eddie McGrady,Northern
94,1922, heart failure,November,2013,American actress (The Red Skelton Show Perry Mason I Love Lucy),Shirley Mitchell,American
73,1943,,November,2013,American actor (Another World One Life to Live),George Reinholt,American
85,1931,,November,2013,Hungarian Olympic sailor (1960),István Telegdy,Hungarian
74,1942, kidney cancer,November,2013,American politician Executive Councillor for New Hampshire District 1 (1977–1979 since 1981),Raymond S. Burton,American
91,1925,,November,2013,Italian footballer (Atalanta Bergamo Napoli),Giuseppe Casari,Italian
76,1940,,November,2013,American football player (Minnesota Vikings Denver Broncos),John McCormick,American
89,1927,,November,2013,American actor (The Godfather Part III Showgirls),Al Ruscio,American
69,1947, complications from Marfan syndrome,November,2013,British composer (Children of Men),Sir John Tavener,British
78,1938,,November,2013, Bishop of Tagbilaran (1976–1986) and Archbishop of Capiz (1986–2011),Onesimo Cadiz Gordoncillo,Filipino
57,1959, complications during liver transplant surgery,November,2013,American football player (Los Angeles Raiders),Todd Christensen,American
85,1931,,November,2013,Luxembourgian Olympic sprint canoer (1952),Eugène Hanck,Luxembourgian
83,1933,,November,2013,American actress (Oklahoma!) and businesswoman,Barbara Lawrence,American
88,1928,,November,2013,Canadian ice hockey player (New York Rangers Detroit Red Wings),Reg Sinclair,Canadian
84,1932, pulmonary fibrosis,November,2013,American actress (The Towering Inferno The Poseidon Adventure),Sheila Matthews Allen,American
41,1975, respiratory failure,November,2013,Mexican actress (Qué Bonito Amor),Karla Álvarez,Mexican
94,1922,,November,2013, President (1974 1993–2003),Glafcos Clerides,Cypriot
77,1939,,November,2013,Belgian international footballer (Beringen national team),Félix Geybels,Belgian
95,1921, Inc,November,2013,American Christian leader president of the National Baptist Convention USA,T. J. Jemison,American
91,1925,,November,2013,American actor and screenwriter (The Good the Bad and the Ugly G,Mickey Knox,American
83,1933,,November,2013,American Hall of Fame football player (Cleveland Browns) and coach,Mike McCormack,American
66,1950, ovarian cancer,November,2013,American author of children's books (Junie B. Jones),Barbara Park,American
85,1931, parotid cancer,November,2013,American journalist and radio host (All Things Considered),Robert Conley,American
83,1933,,November,2013, recipient of the Jaroslav Seifert Prize (1996),Zbyněk Hejda,Czech
81,1935, natural causes,November,2013,American politician Mayor of Lawndale California (since 1990),Harold Hofmann,American
88,1928,,November,2013, Senator (1982–2000),William McDonough Kelly,Canadian
81,1935,,November,2013, Foreign Secretary (1989–1990),Tanvir Ahmad Khan,Pakistani
82,1934,,November,2013,Norwegian footballer (Fredrikstad national team),Arne Pedersen,Norwegian
83,1933, complications from stroke and fall,November,2013,American baseball player (New York Yankees Kansas City Athletics),Zeke Bella,American
98,1918,,November,2013, Director of the Duke of Edinburgh's Award Scheme (1967–1978),Sir Alfred Blake,British
35,1981, brain cancer,November,2013,American football player (Tennessee Titans),Frank Chamberlin,American
83,1933,,November,2013, LSU athletic director (1987–2000),Joe Dean,American
94,1922,,November,2013, laureate of Nobel Prize in Literature (2007),Doris Lessing,British
92,1924,,November,2013, Massachusetts (1972–1973 1976–1985),Antonio J. Marino,American
46,1970,,November,2013, member of the National Assembly for Juja Constituency (2007–2010),George Thuo,Kenyan
69,1947,,November,2013, member of the Louisiana State Senate (1981–1996),Mike Cross,American
30,1986, traffic collision,November,2013,American football player (Oakland Raiders),Thomas Howard,American
85,1931,,November,2013,American baseball player (Detroit Tigers Baltimore Orioles Los Angeles Dodgers),Babe Birrer,American
89,1927,,November,2013,American choreographer (The Sound of Music Mary Poppins),Marc Breaux,American
87,1929, pneumonia,November,2013,American politician first female Mayor of Bellevue Washington (1988–1989),Nan Campbell,American
77,1939,,November,2013,Ukrainian Soviet Olympic bronze medalist (1964) and European champion athlete (1966),Taisia Chenchik,Ukrainian
89,1927,,November,2013,Swiss businessman and Olympic bronze medalist bobsledder (1952),André Filippini,Swiss
90,1926,,November,2013, Auxiliary Bishop of Haarlem (1983–1995),Joseph Frans Lescrauwaet,Dutch
71,1945,,November,2013, Archbishop of N'Djaména (since 2003),Matthias N'Gartéri Mayadi,Chadian
95,1921,,November,2013, laureate of Nobel Prize in Chemistry (1958 1980),Frederick Sanger,British
59,1957, heart attack,November,2013,American news director (KSFR) and actor (The Spirit Swing Vote),Dan Gerrity,American
85,1931,,November,2013, MP for Smethwick (1964–1966) and Portsmouth North (1979–1997),Peter Griffiths,British
88,1928, dementia and Parkinson's disease,November,2013,American football head coach (University of Toledo University of Iowa),Frank Lauterbur,American
40,1976, traffic collision,November,2013,Albanian politician MP (since 2001) Minister of Public Works Transportation and Telecommunications,Sokol Olldashi,Albanian
91,1925,,November,2013, Olympic champion (1948),Justus Smith,American
75,1941,,November,2013, MP for Bexleyheath (1974–1997),Sir Cyril Townsend,British
88,1928, co-creator of Norev model cars,November,2013,French entrepreneur (Majorette),Émile Véron,French
63,1953,,November,2013,Czech Olympic ski jumper (1976),Jindřich Balcar,Czech
97,1919,,November,2013, leader of the Democratic Party (1973–1977),Theo Gerdener,South
85,1931,,November,2013,American Hall of Fame basketball player (Minneapolis Lakers),Vern Mikkelsen,American
96,1920,,November,2013,American baseball player (Washington Senators),Mike Palagyi,American
89,1927,,November,2013,British Olympic swimmer (1948),Tony Summers,British
78,1938,,November,2013,American opera composer (Transformations),Conrad Susa,American
75,1941,,November,2013,American baseball player (Baltimore Orioles),George Werley,American
83,1933,,November,2013, Bishop of Saint-Étienne (1988−2006),Pierre Jacques Joatton,French
90,1926,,November,2013,Russian world champion ice hockey player (1954),Aleksandr Komarov,Russian
90,1926,,November,2013, MP (1994–2004),Reggie September,South
81,1935,,November,2013,Canadian ice hockey player (Montreal Canadiens),Connie Broden,Canadian
73,1943,,November,2013, Governor of Krasnodar Krai (1997–2001),Nikolai Kondratenko,Russian
50,1966, heart attack,November,2013,American actor writer and comedian (Employee of the Month Without a Paddle In Living Color),Jay Leggett,American
80,1936,,November,2013,American businessman (Progressive Corporation) and philanthropist,Peter B. Lewis,American
89,1927,,November,2013, Auxiliary Bishop of New York (1986–2001),William Jerome McCormack,American
85,1931,,November,2013,American baseball player (Philadelphia Phillies),Charlie Bicknell,American
87,1929,,November,2013,American businessman (General Growth Properties),Matthew Bucksbaum,American
86,1930,,November,2013,American football player (San Francisco 49ers Los Angeles Rams),Jim Cason,American
38,1978,,November,2013,American basketball player (Harlem Globetrotters),Lorenzo Coleman,American
87,1929, pancreatic cancer,November,2013,American politician Lieutenant Governor of Hawaii (1978–1982),Jean King,American
76,1940,,November,2013, member of the New South Wales Legislative Council (1974–1986),Lloyd Lange,Australian
90,1926,,November,2013, Bishop of Charleston (1990−1999),David B. Thompson,American
80,1936,,November,2013,Irish hurler (Waterford),Charlie Ware,Irish
89,1927, cardiopulmonary failure,November,2013,American baseball player (Philadelphia Athletics),Lou Brissie,American
72,1944,,November,2013,English pop singer (The Allisons),Bob Day,English
81,1935,,November,2013,English footballer (Manchester United England),Bill Foulkes,English
87,1929,,November,2013,German Olympic fencer (1960 1964 1968),Paul Gnaier,German
82,1934, MODS,November,2013,Japanese voice actress (Galaxy Express 999 Speed Racer Hell Teacher Nube),Ryōko Kinomiya,Japanese
79,1937,,November,2013, Deputy Prime Minister (1998–1999),Egon Lánský,Czech
72,1944,,November,2013,German-born Australian opera director (Ring cycles) and actress (Skippy the Bush Kangaroo),Elke Neidhardt,German-born
91,1925, prostate cancer,November,2013,American comic book artist (Superman),Al Plastino,American
84,1932,,November,2013, Bishop of Nouna (1973−2000) and Dédougou (2000−2005),Zéphyrin Toé,Burkinabé
77,1939, pneumonia,November,2013,Japanese film score composer (The Fall of Ako Castle Battles Without Honor and Humanity),Toshiaki Tsushima,Japanese
93,1923,,November,2013,Dutch footballer (Willem II),Toon Becx,Dutch
92,1924,,November,2013,"British crossword compiler (""Araucaria"" of The Guardian) and Church of England priest",John Galbraith Graham,British
90,1926, complications from a fall,November,2013,American actress (The Honeymooners),Jane Kean,American
77,1939, complications following surgery,November,2013,American actor (As the World Turns Oz We Own the Night),Tony Musante,American
92,1924, instrumentalist and actor,November,2013,Romanian composer (Veronica Ma-ma),Temistocle Popa,Romanian
90,1926,,November,2013, recipient of the Israel Prize (1999),Bracha Qafih,Israeli
75,1941,,November,2013,Paraguayan footballer (Barcelona Espanyol) and manager,Cayetano Ré,Paraguayan
74,1942,,November,2013,German Olympic bronze-medalist sailor (1976),Jörg Spengler,German
77,1939,,November,2013,Italian Olympic long jumper (1960),Attilio Bravi,Italian
67,1949, cancer,November,2013,British actor (The Professionals),Lewis Collins,British
84,1932,,November,2013, Attorney General of Rhode Island (1967−1971),Herbert F. DeSimone,American
71,1945,,November,2013, Ambassador to Poland (2004–2009),David Peleg,Israeli
88,1928, lung infection,November,2013,Brazilian footballer (Botafogo) World Cup champion (1958 1962),Nílton Santos,Brazilian
88,1928,,November,2013,American record company owner (Modern Records),Joe Bihari,American
8,2008,,November,2013, World's Ugliest Dog (2007),Elwood,American
94,1922,,November,2013, Prime Minister of Yugoslavia (1969–1971),Mitja Ribičič,Slovenian
90,1926,,November,2013, Lieutenant Governor of Quebec (1996),Jean-Louis Roux,Canadian
87,1929,,November,2013, Auxiliary Bishop of Münster (1973−2001),Max Georg von Twickel,German
72,1944,,November,2013,Canadian-born American actor (The Jeffersons Magnolia Private Benjamin),Danny Wells,Canadian-born
65,1951,,November,2013, member of the Canadian Motorsport Hall of Fame (2000),Gordie Bonin,Canadian
65,1951,,November,2013,"American singer (""Get Down Saturday Night"")",Oliver Cheatham,American
87,1929,,November,2013,American actor (Star Trek Perry Mason),Charles Cooper,American
68,1948, cancer,November,2013,American musician (The Bel-Airs Eddie and the Showmen The Standells) and Mouseketeer,Dick Dodd,American
59,1957, cancer,November,2013,American newspaper editor (The New York Observer),Peter Kaplan,American
82,1934,,November,2013, member of the European Parliament (1984–1989),Bram van der Lek,Dutch
78,1938,,November,2013, 1961),Valdis Muižnieks,Latvian
90,1926,,November,2013, Bishop of Barra do Piraí-Volta Redonda (1966−1999),Waldyr Calheiros Novaes,Brazilian
94,1922,,November,2013,Canadian charity executive (The War Amps),Clifford Chadderton,Canadian
92,1924, complications from a fall,November,2013,English actress (The Browning Version),Jean Kent,English
90,1926,,November,2013,Italian Olympic sprinter (1952),Baldassarre Porto,Italian
40,1976, traffic collision,November,2013,American actor (The Fast and the Furious Pleasantville Joy Ride),Paul Walker,American
85,1931,,November,2013,Russian actor (The Irony of Fate Anna Karenina Ivan Vasilievich: Back to the Future),Yury Yakovlev,Russian
68,1948,,December,2013, Governor of Cabinda (1990),Maria Mambo Café,Angolan
66,1950, pneumonia,December,2013,English drummer (Caravan),Richard Coughlan,English
72,1944,,December,2013, Auxiliary Bishop of Bogotá (since 1996),Fernando Sabogal Viana,Colombian
70,1946,,December,2013, Bishop of Itumbiara (since 1999),Antônio Lino da Silva Dinis,Portuguese-born
57,1959,,December,2013, member of the Federal Parliament (1995–1999) and Flemish Parliament for East Flanders (1999–2009),Dany Vandenbossche,Belgian
85,1931,,December,2013, Attorney General (1980–1984),William Allain,American
82,1934,,December,2013,Spanish footballer (Real Sociedad),Antonio Ansola,Spanish
38,1978, motorcycle collision,December,2013,American contractor (Curb Appeal),Bill Beckwith,American
58,1958,,December,2013,Irish Gaelic football player (Offaly),Liam Connor,Irish
53,1963, cancer,December,2013,Brazilian politician Governor of Sergipe (since 2007),Marcelo Déda,Brazilian
77,1939, traffic collision,December,2013,British journalist Editor of the Daily Star (1987–1994) and Sunday Express (1994–1995),Brian Hitchen,British
102,1914,,December,2013, member of the House of Representatives (1946–1952),Toshiko Karasawa,Japanese
67,1949,,December,2013,"Jamaican reggae singer (""Police and Thieves"")",Junior Murvin,Jamaican
78,1938, complications of a stroke,December,2013,Scottish actress (Take the High Road Balamory Dear Frankie),Mary Riggans,Scottish
70,1946,,December,2013,Uruguayan footballer (Peñarol São Paulo FC),Pedro Rocha,Uruguayan
83,1933,,December,2013, President (1998–2003),Vernon Shaw,Dominican
83,1933,,December,2013,English cricketer (Warwickshire),Ray Weeks,English
48,1968, lung cancer,December,2013,American actor (Vicky Cristina Barcelona Lincoln Silicon Valley),Christopher Evan Welch,American
77,1939,,December,2013, Oxford (1989–1997),John Albery,British
85,1931,,December,2013, Speaker (1957–1959),Dick Greuel,American
70,1946, heart and kidney failure,December,2013,American actor (Along Came Polly Law & Order The Big Bang Theory),Ronald Hunter,American
85,1931,,December,2013, member of the Alaska House of Representatives (1983–1993),Niilo Koponen,American
73,1943,,December,2013,German journalist and actor (Autumn Marathon),Norbert Kuchinke,German
61,1955,,December,2013, Minister of Military Production (2013),Reda Mahmoud Hafez Mohamed,Egyptian
92,1924,,December,2013, bronze medalist (1952),McDonald Bailey,British
97,1919,,December,2013,British comics artist (Korky the Cat Desperate Dan),Charles Grigg,British
83,1933,,December,2013,Irish broadcaster (Radio 702) and actor,Paddy O'Byrne,Irish
54,1962, plane crash,December,2013,South African Olympic slalom canoer (1992),Alexander Rennie,South
34,1982,,December,2013,Belarusian Olympic long jumper (2008),Iryna Charnushenka-Stasiuk,Belarusian
99,1917,,December,2013, California (1956–1958),Robert Doerr,American
86,1930,,December,2013, Ambassador to South Africa (1978–1981),William B. Edmondson,American
95,1921,,December,2013,Bolivian footballer (The Strongest national team),Ruperto Inchausti,Bolivian
75,1941,,December,2013,English actor (Doctor Who Wimbledon Midsomer Murders),Barry Jackson,English
95,1921, lung infection,December,2013,South African anti-apartheid activist and politician President (1994−1999),Nelson Mandela,South
84,1932, member of College Football Hall of Fame,December,2013,American football player (Virginia Cavaliers),Joe Palumbo,American
87,1929,,December,2013, member of the New South Wales Legislative Assembly for Willoughby (1978–1981),Eddie Britt,Australian
72,1944,,December,2013,American artist and songwriter (Strange Brew),Gail Collins Pappalardi,American
71,1945,,December,2013,American college basketball coach (Southern Miss),M. K. Turk,American
78,1938, stroke,December,2013,American actor (Lonesome Cowboys Blue Movie Flesh),Louis Waldon,American
82,1934,,December,2013,American actress (Ellen Disclosure Dahmer),Kate Williamson,American
79,1937,,December,2013, Lord Mayor of London (1990),Sir Hugh Bidwell,British
86,1930,,December,2013,English film and television director (The Shooting Party),Alan Bridges,English
64,1952, traffic collision,December,2013,Russian Soviet Olympic bronze-medalist athlete (1976),Nadezhda Ilyina,Russian
95,1921,,December,2013,Finnish Olympic silver-medalist cross country skier (1952),Eero Kolehmainen,Finnish
51,1965,,December,2013,South African WBO flyweight and light flyweight champion boxer (1993 1995),Jacob Matlala,South
85,1931,,December,2013,French film director and screenwriter (La Cage aux Folles),Édouard Molinaro,French
78,1938,,December,2013, Judge of the Supreme Court (1998–2009),Orlando Álvarez,Chilean
60,1956,,December,2013,Ukrainian Soviet footballer (Chornomorets),Leonid Baranovskyi,Ukrainian
96,1920,,December,2013, laureate of the Nobel Prize (1975),Sir John Cornforth,Australian-British
84,1932,,December,2013,American historian (Cheyenne Frontier Days),Shirley E. Flynn,American
53,1963,,December,2013,British-born Austrian singer (The Rounder Girls),Lynne Kieran,British-born
70,1946,,December,2013,American actor (Ironside I Dream of Jeannie CHiPs),Don Mitchell,American
79,1937,,December,2013,Australian cricketer (South Australia),Donn Robins,Australian
78,1938,,December,2013,Spanish footballer (Tenerife),Luis Saavedra,Spanish
92,1924,,December,2013,English composer (Life on Earth),Edward Williams,English
89,1927,,December,2013, member of the New South Wales Legislative Assembly for Granville (1962–1984),Pat Flaherty,Australian
104,1912,,December,2013, California Appellate Court (1970–1974) and Superior Court (1949–1970),John Gabbert,American
98,1918,,December,2013,American football player (Tennessee Volunteers),Joe Black Hayes,American
91,1925, pneumonia,December,2013,American actress (The Sound of Music Detective Story),Eleanor Parker,American
63,1953,,December,2013, Chief of General Staff (1992–1993),Avtandil Tskitishvili,Georgian
70,1946,,December,2013,American football player (Dallas Cowboys Los Angeles Rams Washington Redskins),John Wilbur,American
76,1940,,December,2013,English-born Australian television director and producer (The Young Doctors Neighbours),Alan Coleman,English-born
66,1950,,December,2013,American football player (Washington Redskins New Orleans Saints),John Didion,American
82,1934,,December,2013, member of the Australian House of Representatives for Forrest (1972–1987),Peter Drummond,Australian
90,1926,,December,2013,American baseball player (Detroit Tigers),Don Lund,American
79,1937,,December,2013,Italian actress (Helen of Troy),Rossana Podestà,Italian
60,1956, heart attack,December,2013,Indian politician leader of Mysore Kingdom and Wadiyar dynasty (since 1974),Srikanta Wadiyar,Indian
65,1951, plane crash,December,2013,American health official director of the Hawaii Department of Health (since 2011) Mayor of Kalawao County (since 2011),Loretta Fuddy,American
90,1926,,December,2013, Deputy Commissioner of Police of the Metropolis (1977–1983),Patrick Kavanagh,British
56,1960,,December,2013,Canadian professional wrestler and actor (Wrong Turn The Love Guru Narc),Garry Robbins,Canadian
64,1952,,December,2013,American baseball player (Boston Red Sox),Jim Burton,American
90,1926,,December,2013, MP for Gateshead East (1964–1987),Bernard Conlan,British
67,1949, executed,December,2013,North Korean politician Vice-Chairman of the National Defence Commission (2010–2013),Jang Sung-taek,North
73,1943,,December,2013,English footballer (Millwall),David Jones,English
82,1934, complications from pneumonia,December,2013,American actor (Billy Jack),Tom Laughlin,American
87,1929, pneumonia,December,2013,American television quiz show host (It's Academic),Mac McGarry,American
45,1971, heart failure,December,2013,American IBO cruiserweight champion boxer (2001–2002),Ezra Sellers,American
95,1921, stroke,December,2013,American actress (The Postman Always Rings Twice; Medical Center),Audrey Totter,American
